Cali_F,Cali_M,Dublin_F,Dublin_M,Rome_F,Rome_M,syn_Cali_F,syn_Cali_M,syn_Dublin_F,syn_Dublin_M,syn_Rome_F,syn_Rome_M,G5_Icub_Acapela,Flash_Cereproc,Pepper_Default,Poli_Polly,PR2_Cepstral,Reem_Acapela,ROS_Festival,SCIPRR_Cepstral,Stevie_Cereproc
voice_dataset/Cali_F/CaliforniaF_sAback.wav,voice_dataset/Cali_M/CaliforniaM_sAback.wav,voice_dataset/Dublin_F/Dublin_F_sAback.wav,voice_dataset/Dublin_M/Dublin_M_sAback.wav,voice_dataset/Rome_F/Rome_F_sAback.wav,voice_dataset/Rome_M/RomeM_sAback.wav,voice_dataset/syn_Cali_F/CaliforniaFsynth_sAback.wav,voice_dataset/syn_Cali_M/CaliforniaMsynth_sAback.wav,voice_dataset/syn_Dublin_F/DublinFsynth_sAback.wav,voice_dataset/syn_Dublin_M/DublinMsynth_sAback.wav,voice_dataset/syn_Rome_F/RomeFsynth_sAback.wav,voice_dataset/syn_Rome_M/RomeMsynth_sAback.wav,voice_dataset/G5_Icub_Acapela/G5_sAback.wav,voice_dataset/Flash_Cereproc/Flash_sAback.wav,voice_dataset/Pepper_Default/Pepper_sAback.wav,voice_dataset/Poli_Polly/Poli_sAback.wav,voice_dataset/PR2_Cepstral/PR2_sAback.wav,voice_dataset/Reem_Acapela/Reem_sAback.wav,voice_dataset/ROS_Festival/Ros_sAback.wav,voice_dataset/SCIPRR_Cepstral/SCIPRR_sAback.wav,voice_dataset/Stevie_Cereproc/Stevie_sAback.wav
voice_dataset/Cali_F/CaliforniaF_sBback.wav,voice_dataset/Cali_M/CaliforniaM_sBback.wav,voice_dataset/Dublin_F/Dublin_F_sBback.wav,voice_dataset/Dublin_M/Dublin_M_sBback.wav,voice_dataset/Rome_F/Rome_F_sBback.wav,voice_dataset/Rome_M/RomeM_sBback.wav,voice_dataset/syn_Cali_F/CaliforniaFsynth_sBback.wav,voice_dataset/syn_Cali_M/CaliforniaMsynth_sBback.wav,voice_dataset/syn_Dublin_F/DublinFsynth_sBback.wav,voice_dataset/syn_Dublin_M/DublinMsynth_sBback.wav,voice_dataset/syn_Rome_F/RomeFsynth_sBback.wav,voice_dataset/syn_Rome_M/RomeMsynth_sBback.wav,voice_dataset/G5_Icub_Acapela/G5_sBback.wav,voice_dataset/Flash_Cereproc/Flash_sBback.wav,voice_dataset/Pepper_Default/Pepper_sBback.wav,voice_dataset/Poli_Polly/Poli_sBback.wav,voice_dataset/PR2_Cepstral/PR2_sBback.wav,voice_dataset/Reem_Acapela/Reem_sBback.wav,voice_dataset/ROS_Festival/Ros_sBback.wav,voice_dataset/SCIPRR_Cepstral/SCIPRR_sBback.wav,voice_dataset/Stevie_Cereproc/Stevie_sBback.wav
voice_dataset/Cali_F/CaliforniaF_sCback.wav,voice_dataset/Cali_M/CaliforniaM_sCback.wav,voice_dataset/Dublin_F/Dublin_F_sCback.wav,voice_dataset/Dublin_M/Dublin_M_sCback.wav,voice_dataset/Rome_F/Rome_F_sCback.wav,voice_dataset/Rome_M/RomeM_sCback.wav,voice_dataset/syn_Cali_F/CaliforniaFsynth_sCback.wav,voice_dataset/syn_Cali_M/CaliforniaMsynth_sCback.wav,voice_dataset/syn_Dublin_F/DublinFsynth_sCback.wav,voice_dataset/syn_Dublin_M/DublinMsynth_sCback.wav,voice_dataset/syn_Rome_F/RomeFsynth_sCback.wav,voice_dataset/syn_Rome_M/RomeMsynth_sCback.wav,voice_dataset/G5_Icub_Acapela/G5_sCback.wav,voice_dataset/Flash_Cereproc/Flash_sCback.wav,voice_dataset/Pepper_Default/Pepper_sCback.wav,voice_dataset/Poli_Polly/Poli_sCback.wav,voice_dataset/PR2_Cepstral/PR2_sCback.wav,voice_dataset/Reem_Acapela/Reem_sCback.wav,voice_dataset/ROS_Festival/Ros_sCback.wav,voice_dataset/SCIPRR_Cepstral/SCIPRR_sCback.wav,voice_dataset/Stevie_Cereproc/Stevie_sCback.wav
voice_dataset/Cali_F/CaliforniaF_sDback.wav,voice_dataset/Cali_M/CaliforniaM_sDback.wav,voice_dataset/Dublin_F/Dublin_F_sDback.wav,voice_dataset/Dublin_M/Dublin_M_sDback.wav,voice_dataset/Rome_F/Rome_F_sDback.wav,voice_dataset/Rome_M/RomeM_sDback.wav,voice_dataset/syn_Cali_F/CaliforniaFsynth_sDback.wav,voice_dataset/syn_Cali_M/CaliforniaMsynth_sDback.wav,voice_dataset/syn_Dublin_F/DublinFsynth_sDback.wav,voice_dataset/syn_Dublin_M/DublinMsynth_sDback.wav,voice_dataset/syn_Rome_F/RomeFsynth_sDback.wav,voice_dataset/syn_Rome_M/RomeMsynth_sDback.wav,voice_dataset/G5_Icub_Acapela/G5_sDback.wav,voice_dataset/Flash_Cereproc/Flash_sDback.wav,voice_dataset/Pepper_Default/Pepper_sDback.wav,voice_dataset/Poli_Polly/Poli_sDback.wav,voice_dataset/PR2_Cepstral/PR2_sDback.wav,voice_dataset/Reem_Acapela/Reem_sDback.wav,voice_dataset/ROS_Festival/Ros_sDback.wav,voice_dataset/SCIPRR_Cepstral/SCIPRR_sDback.wav,voice_dataset/Stevie_Cereproc/Stevie_sDback.wav
voice_dataset/Cali_F/CaliforniaF_sEback.wav,voice_dataset/Cali_M/CaliforniaM_sEback.wav,voice_dataset/Dublin_F/Dublin_F_sEback.wav,voice_dataset/Dublin_M/Dublin_M_sEback.wav,voice_dataset/Rome_F/Rome_F_sEback.wav,voice_dataset/Rome_M/RomeM_sEback.wav,voice_dataset/syn_Cali_F/CaliforniaFsynth_sEback.wav,voice_dataset/syn_Cali_M/CaliforniaMsynth_sEback.wav,voice_dataset/syn_Dublin_F/DublinFsynth_sEback.wav,voice_dataset/syn_Dublin_M/DublinMsynth_sEback.wav,voice_dataset/syn_Rome_F/RomeFsynth_sEback.wav,voice_dataset/syn_Rome_M/RomeMsynth_sEback.wav,voice_dataset/G5_Icub_Acapela/G5_sEback.wav,voice_dataset/Flash_Cereproc/Flash_sEback.wav,voice_dataset/Pepper_Default/Pepper_sEback.wav,voice_dataset/Poli_Polly/Poli_sEback.wav,voice_dataset/PR2_Cepstral/PR2_sEback.wav,voice_dataset/Reem_Acapela/Reem_sEback.wav,voice_dataset/ROS_Festival/Ros_sEback.wav,voice_dataset/SCIPRR_Cepstral/SCIPRR_sEback.wav,voice_dataset/Stevie_Cereproc/Stevie_sEback.wav
voice_dataset/Cali_F/CaliforniaF_sFback.wav,voice_dataset/Cali_M/CaliforniaM_sFback.wav,voice_dataset/Dublin_F/Dublin_F_sFback.wav,voice_dataset/Dublin_M/Dublin_M_sFback.wav,voice_dataset/Rome_F/Rome_F_sFback.wav,voice_dataset/Rome_M/RomeM_sFback.wav,voice_dataset/syn_Cali_F/CaliforniaFsynth_sFback.wav,voice_dataset/syn_Cali_M/CaliforniaMsynth_sFback.wav,voice_dataset/syn_Dublin_F/DublinFsynth_sFback.wav,voice_dataset/syn_Dublin_M/DublinMsynth_sFback.wav,voice_dataset/syn_Rome_F/RomeFsynth_sFback.wav,voice_dataset/syn_Rome_M/RomeMsynth_sFback.wav,voice_dataset/G5_Icub_Acapela/G5_sFback.wav,voice_dataset/Flash_Cereproc/Flash_sFback.wav,voice_dataset/Pepper_Default/Pepper_sFback.wav,voice_dataset/Poli_Polly/Poli_sFback.wav,voice_dataset/PR2_Cepstral/PR2_sFback.wav,voice_dataset/Reem_Acapela/Reem_sFback.wav,voice_dataset/ROS_Festival/Ros_sFback.wav,voice_dataset/SCIPRR_Cepstral/SCIPRR_sFback.wav,voice_dataset/Stevie_Cereproc/Stevie_sFback.wav
voice_dataset/Cali_F/CaliforniaF_sGback.wav,voice_dataset/Cali_M/CaliforniaM_sGback.wav,voice_dataset/Dublin_F/Dublin_F_sGback.wav,voice_dataset/Dublin_M/Dublin_M_sGback.wav,voice_dataset/Rome_F/Rome_F_sGback.wav,voice_dataset/Rome_M/RomeM_sGback.wav,voice_dataset/syn_Cali_F/CaliforniaFsynth_sGback.wav,voice_dataset/syn_Cali_M/CaliforniaMsynth_sGback.wav,voice_dataset/syn_Dublin_F/DublinFsynth_sGback.wav,voice_dataset/syn_Dublin_M/DublinMsynth_sGback.wav,voice_dataset/syn_Rome_F/RomeFsynth_sGback.wav,voice_dataset/syn_Rome_M/RomeMsynth_sGback.wav,voice_dataset/G5_Icub_Acapela/G5_sGback.wav,voice_dataset/Flash_Cereproc/Flash_sGback.wav,voice_dataset/Pepper_Default/Pepper_sGback.wav,voice_dataset/Poli_Polly/Poli_sGback.wav,voice_dataset/PR2_Cepstral/PR2_sGback.wav,voice_dataset/Reem_Acapela/Reem_sGback.wav,voice_dataset/ROS_Festival/Ros_sGback.wav,voice_dataset/SCIPRR_Cepstral/SCIPRR_sGback.wav,voice_dataset/Stevie_Cereproc/Stevie_sGback.wav
voice_dataset/Cali_F/CaliforniaF_sHback.wav,voice_dataset/Cali_M/CaliforniaM_sHback.wav,voice_dataset/Dublin_F/Dublin_F_sHback.wav,voice_dataset/Dublin_M/Dublin_M_sHback.wav,voice_dataset/Rome_F/Rome_F_sHback.wav,voice_dataset/Rome_M/RomeM_sHback.wav,voice_dataset/syn_Cali_F/CaliforniaFsynth_sHback.wav,voice_dataset/syn_Cali_M/CaliforniaMsynth_sHback.wav,voice_dataset/syn_Dublin_F/DublinFsynth_sHback.wav,voice_dataset/syn_Dublin_M/DublinMsynth_sHback.wav,voice_dataset/syn_Rome_F/RomeFsynth_sHback.wav,voice_dataset/syn_Rome_M/RomeMsynth_sHback.wav,voice_dataset/G5_Icub_Acapela/G5_sHback.wav,voice_dataset/Flash_Cereproc/Flash_sHback.wav,voice_dataset/Pepper_Default/Pepper_sHback.wav,voice_dataset/Poli_Polly/Poli_sHback.wav,voice_dataset/PR2_Cepstral/PR2_sHback.wav,voice_dataset/Reem_Acapela/Reem_sHback.wav,voice_dataset/ROS_Festival/Ros_sHback.wav,voice_dataset/SCIPRR_Cepstral/SCIPRR_sHback.wav,voice_dataset/Stevie_Cereproc/Stevie_sHback.wav
voice_dataset/Cali_F/CaliforniaF_sIback.wav,voice_dataset/Cali_M/CaliforniaM_sIback.wav,voice_dataset/Dublin_F/Dublin_F_sIback.wav,voice_dataset/Dublin_M/Dublin_M_sIback.wav,voice_dataset/Rome_F/Rome_F_sIback.wav,voice_dataset/Rome_M/RomeM_sIback.wav,voice_dataset/syn_Cali_F/CaliforniaFsynth_sIback.wav,voice_dataset/syn_Cali_M/CaliforniaMsynth_sIback.wav,voice_dataset/syn_Dublin_F/DublinFsynth_sIback.wav,voice_dataset/syn_Dublin_M/DublinMsynth_sIback.wav,voice_dataset/syn_Rome_F/RomeFsynth_sIback.wav,voice_dataset/syn_Rome_M/RomeMsynth_sIback.wav,voice_dataset/G5_Icub_Acapela/G5_sIback.wav,voice_dataset/Flash_Cereproc/Flash_sIback.wav,voice_dataset/Pepper_Default/Pepper_sIback.wav,voice_dataset/Poli_Polly/Poli_sIback.wav,voice_dataset/PR2_Cepstral/PR2_sIback.wav,voice_dataset/Reem_Acapela/Reem_sIback.wav,voice_dataset/ROS_Festival/Ros_sIback.wav,voice_dataset/SCIPRR_Cepstral/SCIPRR_sIback.wav,voice_dataset/Stevie_Cereproc/Stevie_sIback.wav
voice_dataset/Cali_F/CaliforniaF_sJback.wav,voice_dataset/Cali_M/CaliforniaM_sJback.wav,voice_dataset/Dublin_F/Dublin_F_sJback.wav,voice_dataset/Dublin_M/Dublin_M_sJback.wav,voice_dataset/Rome_F/Rome_F_sJback.wav,voice_dataset/Rome_M/RomeM_sJback.wav,voice_dataset/syn_Cali_F/CaliforniaFsynth_sJback.wav,voice_dataset/syn_Cali_M/CaliforniaMsynth_sJback.wav,voice_dataset/syn_Dublin_F/DublinFsynth_sJback.wav,voice_dataset/syn_Dublin_M/DublinMsynth_sJback.wav,voice_dataset/syn_Rome_F/RomeFsynth_sJback.wav,voice_dataset/syn_Rome_M/RomeMsynth_sJback.wav,voice_dataset/G5_Icub_Acapela/G5_sJback.wav,voice_dataset/Flash_Cereproc/Flash_sJback.wav,voice_dataset/Pepper_Default/Pepper_sJback.wav,voice_dataset/Poli_Polly/Poli_sJback.wav,voice_dataset/PR2_Cepstral/PR2_sJback.wav,voice_dataset/Reem_Acapela/Reem_sJback.wav,voice_dataset/ROS_Festival/Ros_sJback.wav,voice_dataset/SCIPRR_Cepstral/SCIPRR_sJback.wav,voice_dataset/Stevie_Cereproc/Stevie_sJback.wav
